type,name,label::English (en),hint::English (en),required,appearance,constraint_message,relevant,constraint,body::accept,guidance_hint
select_one ry7lu40,MethodNe_pop1,What method was used in calculating Ne for THIS population?,,true,,,${Ne_pop1} != '',,,
text,SourceNe_pop1,Please list all relevant sources reporting on effective population size for THIS population,Please separate each source using a semicolon (;).,true,multiline,,${Ne_pop1} != '',,,
select_one tw2mv60,transboundary_pop1,Is THIS population part of a transboundary population?,"Transboundary refers to its existence in one or more countries, moving across oceans, being migratory, etc.",false,,,${n_extant_populations} >= 1 and ${nc_pops_exists} = 'yes',,,
integer,percent_pop1,What percentage of THIS population is in South Africa?,Please record a number between 0-100 (use whole numbers). Enter -999 if the percentage is unknown and cannot be estimated.,false,,,${transboundary_pop1} = 'yes_transboundary',,,
select_one wt5id91,whole_or_part_pop1,"Is the census size estimated for the population as a whole (i.e., across all transboundary countries) or only for the portion within South Africa?",,false,,,${transboundary_pop1} = 'yes_transboundary',,,
select_one uz6tk65,NcType_pop1,Is the census population size (Nc) available as a range or point estimate? See [guidelines for details](https://ccgenetics.github.io/guidelines-genetic-diversity-indicators/docs/3\_Howto\_guides\_examples/Populations\_sizes.html#how-to-get-the-nc),,true,,,${nc_pops_exists} = 'yes',,,
text,NcYear_pop1,In what year was the Nc estimated for population 1?,"Please state the year when the sampling was done, not when it was published",false,,,${NcType_pop1} = 'Nc_range' or ${NcType_pop1} = 'Nc_point',,,
select_one ed5dt93,NcMethod_pop1,How was Nc calculated in THIS population?,,true,,,,,,
select_one gn04r19,NcRange_pop1,Whats the range of the Nc for population 1?,,true,,,${NcType_pop1} = 'Nc_range',,,
text,NcRangeDetails_pop1,If a more detailed range is available please enter it here.,,false,,,${NcRange_pop1} != '' or ${NcType_pop1} = 'Nc_range',,,
integer,NcPoint_pop1,"If known, what is the census population size (Nc) for population 1? (POINT ESTIMATE)",If you have a confidence interval include it in next questions.,true,,"the Nc can't be negative, and only -999 is accepted if the Nc is not avilable (NA)",${NcType_pop1} = 'Nc_point',. = -999 or . > 0,,
